Title,Genre
When You Are Engulfed in Flames,Humor
Slaughterhouse-Five,"Fiction,Classics,Science Fiction"
Crow Mary,Historical Fiction
"The Six Deaths of the Saint (Into Shadow, #3)","Horror,Historical Fiction"
The Offing,"Poetry,Travel"
The Lost Continent: Travels in Small-Town America,Travel
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction
Into Thin Air: A Personal Account of the Mount Everest Disaster,"Nonfiction,Travel"
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth","Psychology,Spirituality"
When Breath Becomes Air,"Memoir,Nonfiction,Biography"
The Blank Slate: The Modern Denial of Human Nature,Psychology
"A Thousand Recipes for Revenge (Chefs of the Five Gods, #1)",Fantasy
Book Love,Comics
Ward D,"Horror,Suspense,Fiction,Crime,Thriller"
The Bluest Eye,Classics
The Extraordinary Life of an Ordinary Man: A Memoir,"Nonfiction,Biography"
Whisperwood,Horror
The Philosophy of Modern Song,"Poetry,Art"
"The Record Keeper (Murphy Shepherd, #3)","Spirituality,Christian"
Blue Skies,Science
I Have Some Questions for You,"Suspense,Contemporary,Thriller"
"Dark Lover (Black Dagger Brotherhood, #1)",Paranormal
"Shadow and Bone (The Shadow and Bone Trilogy, #1)","Fantasy,Young Adult"
The Portable Atheist: Essential Readings for the Nonbeliever,Religion
"My Sister, the Serial Killer","Crime,Mystery"
"WOLFPACK: How to Come Together, Unleash Our Power, and Change the Game",Business
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",Fantasy
Inseparable,"Classics,Philosophy"
The Paris Deception,Art
The War on the West,Religion
People We Meet on Vacation,"Contemporary,Romance,Travel,Chick Lit"
ELP,Crime
Made for Us (Made For #3),"Sports,Humor"
Friday Night Lights,Sports
"The Devil Gets His Due (The Devils, #4)",Humor
The Vanishing of Margaret Small,Historical Fiction
"Gigi, Listening",Travel
"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)","Science Fiction,Humor"
This One Summer,Graphic Novels
Washington: A Life,Biography
The War of the Worlds,Science Fiction
The Grimoire of Grave Fates,"Horror,LGBT,Young Adult"
Spells for Forgetting,Paranormal
"Scott Pilgrim vs. The World (Scott Pilgrim, #2)",Comics
Nat Enough (Nat Enough #1),Art
Vanderbilt: The Rise and Fall of an American Dynasty,"History,Memoir,Nonfiction,Biography"
"How It Unfolds (The Far Reaches, #1)","Fiction,Science Fiction"
Medusa,"Fantasy,Historical Fiction,Graphic Novels"
"The Savory Baker: 150 Creative Recipes, from Classic to Modern",Cookbooks
The Secret Garden,"Classics,Childrens"
"Shanghai Immortal (Shanghai Immortal, #1)","Fantasy,Historical Fiction"
Clarity &amp; Connection,"Philosophy,Spirituality"
With a Kiss We Die,"Suspense,Thriller"
Maame,Contemporary
Local Woman Missing,"Crime,Thriller"
Chasing Harry Winston,Chick Lit
The Book Thief,"Fiction,Historical Fiction,Young Adult"
What Happens After Midnight,"Romance,Chick Lit"
The Art Book,Art
"Yesterday&#39;s Treasures (Blueberry Beach, #1)",Christian
"The Duchess Effect (American Royalty, #2)",Contemporary
"Dinosaurs, Disasters &amp; Albert Einswine (Dino Magic, #1)",Humor
"The Retreat (Detective Elin Warner, #2)",Horror
What the Dead Know: Learning About Life as a New York City Death Investigator,"Crime,Nonfiction,Memoir,Science"
"Knox (The Montana Marshalls, #1)",Christian
The Psychopath Test: A Journey Through the Madness Industry,Psychology
"Gryphon in Light (Kelvren&#39;s Saga, #1)",Fantasy
"No God but God: The Origins, Evolution and Future of Islam",Religion
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Crime,Mystery"
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)","Contemporary,LGBT"
Overkill,Sports
Tulppaanitoiveunia,Chick Lit
Stacey&#39;s Remarkable Books,Childrens
Behind Closed Doors,"Suspense,Thriller"
"Delicates (Sheets, #2)","Graphic Novels,Comics"
Spin,Poetry
"Dead in the Water: A True Story of Hijacking, Murder, and a Global Maritime Conspiracy",Business
Het plan,Sports
